name,team,pos,penalty_name,penalty_yards,total_penalty_yards_by_position,total_penalty_yards_by_player,total_penalty_yards_by_team
A.Gurode,Dallas,C,Defensive Pass Interference,220,3821,456,3299
A.Gurode,Dallas,C,Face Mask (15 Yards),35,3821,456,3299
A.Gurode,Dallas,C,Disqualification,15,3821,456,3299
A.Gurode,Dallas,C,Defensive Pass Interference,186,3821,456,3299
A.Gurode,Dallas,C,Kick Catch Interference,0,3821,456,3299
A.Gurode,Dallas,C,Illegal Receiver Pass,0,3821,456,3299
A.Gurode,Dallas,C,Invalid Fair Catch Signal,0,3821,456,3299
A.Mack,Cleveland,C,Player Out of Bounds on Kick,0,3821,0,2490
A.Mack,Cleveland,C,Illegally Kicking Ball,0,3821,0,2490
B.Meester,Jacksonville,C,Personal Foul,33,3821,38,1152
B.Meester,Jacksonville,C,Illegal Touch Pass,5,3821,38,1152
B.Meester,Jacksonville,C,Offensive Too Many Men on Field,0,3821,38,1152
C.Chester,Baltimore,C,Illegal Touch Kick,10,3821,10,2545
C.Chester,Baltimore,C,Low Block,0,3821,10,2545
C.Chester,Baltimore,C,Face Mask (5 Yards),0,3821,10,2545
C.Chester,Baltimore,C,Illegal Forward Handoff,0,3821,10,2545
C.Morris,Oakland,C,Illegal Forward Pass,5,3821,108,2033
C.Morris,Oakland,C,Neutral Zone Infraction,53,3821,108,2033
C.Morris,Oakland,C,Defensive Offside,35,3821,108,2033
C.Morris,Oakland,C,Defensive Delay of Game,5,3821,108,2033
C.Morris,Oakland,C,Illegal Formation,10,3821,108,2033
C.Myers,Houston,C,Illegal Touch Kick,0,3821,0,2864
C.Rabach,Washington,C,Defensive Pass Interference,180,3821,475,2620
C.Rabach,Washington,C,Short Free Kick,0,3821,475,2620
C.Rabach,Washington,C,Illegal Forward Handoff,0,3821,475,2620
C.Rabach,Washington,C,False Start,280,3821,475,2620
C.Rabach,Washington,C,Player Out of Bounds on Punt,15,3821,475,2620
C.Spencer,Seattle,C,Offensive Offside,0,3821,247,2119
C.Spencer,Seattle,C,Leverage,0,3821,247,2119
C.Spencer,Seattle,C,Horse Collar Tackle,24,3821,247,2119
C.Spencer,Seattle,C,Defensive Pass Interference,166,3821,247,2119
C.Spencer,Seattle,C,Intentional Grounding,57,3821,247,2119
C.White,Houston,C,Offensive Pass Interference,40,3821,161,2864
C.White,Houston,C,Face Mask (15 Yards),81,3821,161,2864
C.White,Houston,C,Face Mask (5 Yards),0,3821,161,2864
C.White,Houston,C,Illegal Block Above the Waist,40,3821,161,2864
C.Wiegmann,Denver,C,Running Into the Kicker,5,3821,30,1941
C.Wiegmann,Denver,C,Player Out of Bounds on Punt,10,3821,30,1941
C.Wiegmann,Denver,C,Illegal Double-Team Block,0,3821,30,1941
C.Wiegmann,Denver,C,Roughing the Kicker,0,3821,30,1941
C.Wiegmann,Kansas City,C,Defensive 12 On-field,15,3821,30,2002
D.Baas,San Francisco,C,Offensive Holding,336,3821,336,3017
D.Baas,San Francisco,C,Taunting,0,3821,336,3017
D.Baas,San Francisco,C,Interference with Opportunity to Catch,0,3821,336,3017
D.Koppen,New England,C,Fair Catch Interference,15,3821,15,1521
D.Koppen,New England,C,Kick Catch Interference,0,3821,15,1521
D.Koppen,New England,C,Chop Block,0,3821,15,1521
D.Koppen,New England,C,Illegal Cut,0,3821,15,1521
D.Koppen,New England,C,Delay of Kickoff,0,3821,15,1521
D.Koppen,New England,C,Illegal Crackback,0,3821,15,1521
D.Raiola,Detroit,C,Illegal Bat,0,3821,40,3435
D.Raiola,Detroit,C,Low Block,0,3821,40,3435
D.Raiola,Detroit,C,Encroachment,15,3821,40,3435
D.Raiola,Detroit,C,Illegal Forward Handoff,0,3821,40,3435
D.Raiola,Detroit,C,Defensive Too Many Men on Field,0,3821,40,3435
D.Raiola,Detroit,C,Defensive Holding,25,3821,40,3435
D.Raiola,Detroit,C,Face Mask,0,3821,40,3435
E.Amano,Tennessee,C,Disqualification,0,3821,63,2041
E.Amano,Tennessee,C,Illegal Substitution,5,3821,63,2041
E.Amano,Tennessee,C,Delay of Game,31,3821,63,2041
E.Amano,Tennessee,C,Illegal Forward Pass,5,3821,63,2041
E.Amano,Tennessee,C,Intentional Grounding,22,3821,63,2041
E.Amano,Tennessee,C,Interference with Opportunity to Catch,0,3821,63,2041
E.Amano,Tennessee,C,Tripping,0,3821,63,2041
E.Dietrich-Smith,Green Bay,C,Defensive Too Many Men on Field,0,3821,0,2779
E.Dietrich-Smith,Green Bay,C,Offensive Offside,0,3821,0,2779
E.Dietrich-Smith,Green Bay,C,Kickoff Out of Bounds,0,3821,0,2779
E.Heitmann,San Francisco,C,Defensive 12 On-field,15,3821,15,3017
E.Heitmann,San Francisco,C,Illegal Touch Kick,0,3821,15,3017
E.Wood,Buffalo,C,Face Mask,0,3821,135,2445
E.Wood,Buffalo,C,Illegal Double-Team Block,0,3821,135,2445
E.Wood,Buffalo,C,Illegal Touch Pass,5,3821,135,2445
E.Wood,Buffalo,C,Leaping,0,3821,135,2445
E.Wood,Buffalo,C,Defensive Pass Interference,130,3821,135,2445
H.Fraley,Cleveland,C,Illegal Procedure,0,3821,0,2490
J.Berger,Miami,C,Ineligible Downfield Pass,0,3821,0,1485
J.Brown,St. Louis,C,Illegal Contact,33,3821,121,3223
J.Brown,St. Louis,C,Player Out of Bounds on Punt,5,3821,121,3223
