name,team,player_position,penalty_name,penalty_yards
A.Gurode,Dallas,C,Defensive Pass Interference,220
A.Gurode,Dallas,C,Illegal Receiver Pass,0
A.Gurode,Dallas,C,Kick Catch Interference,0
A.Gurode,Dallas,C,Invalid Fair Catch Signal,0
A.Gurode,Dallas,C,Disqualification,15
A.Gurode,Dallas,C,Face Mask (15 Yards),35
A.Gurode,Dallas,C,Defensive Pass Interference,186
A.Mack,Cleveland,C,Illegally Kicking Ball,0
A.Mack,Cleveland,C,Player Out of Bounds on Kick,0
B.Meester,Jacksonville,C,Offensive Too Many Men on Field,0
B.Meester,Jacksonville,C,Personal Foul,33
B.Meester,Jacksonville,C,Illegal Touch Pass,5
C.Chester,Baltimore,C,Face Mask (5 Yards),0
C.Chester,Baltimore,C,Low Block,0
C.Chester,Baltimore,C,Illegal Touch Kick,10
C.Chester,Baltimore,C,Illegal Forward Handoff,0
C.Morris,Oakland,C,Illegal Forward Pass,5
C.Morris,Oakland,C,Defensive Delay of Game,5
C.Morris,Oakland,C,Illegal Formation,10
C.Morris,Oakland,C,Neutral Zone Infraction,53
C.Morris,Oakland,C,Defensive Offside,35
C.Myers,Houston,C,Illegal Touch Kick,0
C.Rabach,Washington,C,Short Free Kick,0
C.Rabach,Washington,C,Illegal Forward Handoff,0
C.Rabach,Washington,C,False Start,280
C.Rabach,Washington,C,Player Out of Bounds on Punt,15
C.Rabach,Washington,C,Defensive Pass Interference,180
C.Spencer,Seattle,C,Horse Collar Tackle,24
C.Spencer,Seattle,C,Defensive Pass Interference,166
C.Spencer,Seattle,C,Leverage,0
C.Spencer,Seattle,C,Intentional Grounding,57
C.Spencer,Seattle,C,Offensive Offside,0
C.White,Houston,C,Face Mask (5 Yards),0
C.White,Houston,C,Face Mask (15 Yards),81
C.White,Houston,C,Offensive Pass Interference,40
C.White,Houston,C,Illegal Block Above the Waist,40
C.Wiegmann,Denver,C,Illegal Double-Team Block,0
C.Wiegmann,Denver,C,Running Into the Kicker,5
C.Wiegmann,Denver,C,Roughing the Kicker,0
C.Wiegmann,Denver,C,Player Out of Bounds on Punt,10
C.Wiegmann,Kansas City,C,Defensive 12 On-field,15
D.Baas,San Francisco,C,Interference with Opportunity to Catch,0
D.Baas,San Francisco,C,Offensive Holding,336
D.Baas,San Francisco,C,Taunting,0
D.Koppen,New England,C,Kick Catch Interference,0
D.Koppen,New England,C,Illegal Cut,0
D.Koppen,New England,C,Chop Block,0
D.Koppen,New England,C,Fair Catch Interference,15
D.Koppen,New England,C,Illegal Crackback,0
D.Koppen,New England,C,Delay of Kickoff,0
D.Raiola,Detroit,C,Encroachment,15
D.Raiola,Detroit,C,Illegal Forward Handoff,0
D.Raiola,Detroit,C,Face Mask,0
D.Raiola,Detroit,C,Defensive Holding,25
D.Raiola,Detroit,C,Illegal Bat,0
D.Raiola,Detroit,C,Low Block,0
D.Raiola,Detroit,C,Defensive Too Many Men on Field,0
E.Amano,Tennessee,C,Tripping,0
E.Amano,Tennessee,C,Disqualification,0
E.Amano,Tennessee,C,Illegal Forward Pass,5
E.Amano,Tennessee,C,Interference with Opportunity to Catch,0
E.Amano,Tennessee,C,Intentional Grounding,22
E.Amano,Tennessee,C,Illegal Substitution,5
E.Amano,Tennessee,C,Delay of Game,31
E.Dietrich-Smith,Green Bay,C,Offensive Offside,0
E.Dietrich-Smith,Green Bay,C,Defensive Too Many Men on Field,0
E.Dietrich-Smith,Green Bay,C,Kickoff Out of Bounds,0
E.Heitmann,San Francisco,C,Defensive 12 On-field,15
E.Heitmann,San Francisco,C,Illegal Touch Kick,0
E.Wood,Buffalo,C,Leaping,0
E.Wood,Buffalo,C,Illegal Double-Team Block,0
E.Wood,Buffalo,C,Defensive Pass Interference,130
E.Wood,Buffalo,C,Illegal Touch Pass,5
E.Wood,Buffalo,C,Face Mask,0
H.Fraley,Cleveland,C,Illegal Procedure,0
J.Berger,Miami,C,Ineligible Downfield Pass,0
J.Brown,St. Louis,C,Illegal Blindside Block,10
J.Brown,St. Louis,C,Unsportsmanlike Conduct,30
J.Brown,St. Louis,C,Player Out of Bounds on Punt,5
J.Brown,St. Louis,C,Illegal Contact,33
J.Faine,Tampa Bay,C,Ineligible Downfield Pass,10
J.Faine,Tampa Bay,C,Clipping,0
J.Goodwin,New Orleans,C,Offensive 12 On-field,0
J.Goodwin,New Orleans,C,Intentional Grounding,20
J.Grove,Miami,C,Fair Catch Interference,0
J.Grove,Miami,C,Illegal Shift,0
J.Grove,Miami,C,Illegal Substitution,10
J.Hartwig,Pittsburgh,C,Chop Block,0
J.Hartwig,Pittsburgh,C,Illegal Shift,15
J.Hartwig,Pittsburgh,C,Player Out of Bounds on Punt,5
J.Jackson,Philadelphia,C,Defensive Holding,36
J.Richard,Indianapolis,C,Defensive Offside,73
J.Richard,Indianapolis,C,Leaping,5
J.Saturday,Indianapolis,C,Offensive Holding,246
J.Saturday,Indianapolis,C,Illegal Forward Handoff,0
J.Saturday,Indianapolis,C,Kickoff Out of Bounds,0
J.Saturday,Indianapolis,C,Illegal Wedge,6
J.Saturday,Indianapolis,C,Illegal Wedge,0
J.Spitz,Green Bay,C,Fair Catch Interference,0
J.Sullivan,Minnesota,C,Lowering the Head to Initiate Contact,0
J.Sullivan,Minnesota,C,Roughing the Passer,58
J.Walton,Denver,C,Player Out of Bounds on Punt,0
J.Zuttah,Tampa Bay,C,Invalid Fair Catch Signal,0
J.Zuttah,Tampa Bay,C,Player Out of Bounds on Punt,5
J.Zuttah,Tampa Bay,C,Tripping,8
J.Zuttah,Tampa Bay,C,False Start,185
J.Zuttah,Tampa Bay,C,Disqualification,0
J.Zuttah,Tampa Bay,C,Disqualification,0
K.Cook,Cincinnati,C,Player Out of Bounds on Kick,0
K.Cook,Cincinnati,C,Personal Foul,38
K.Cook,Cincinnati,C,Lowering the Head to Make Forcible Contact,0
K.Cook,Cincinnati,C,Tripping,19
K.DeVan,Indianapolis,C,Illegal Forward Handoff,0
K.DeVan,Indianapolis,C,Illegal Blindside Block,0
K.Lichtensteiger,Washington,C,Illegal Bat,0
K.Mawae,Tennessee,C,Fair Catch Interference,15
K.Mawae,Tennessee,C,Lowering the Head to Make Forcible Contact,0
K.Mawae,Tennessee,C,Face Mask (5 Yards),0
K.Mawae,Tennessee,C,Delay of Kickoff,0
L.Harris,Tennessee,C,Ineligible Downfield Pass,5
L.Sendlein,Arizona,C,Player Out of Bounds on Kick,0
L.Sendlein,Arizona,C,Offside on Free Kick,0
L.Sendlein,Arizona,C,Invalid Fair Catch Signal,0
L.Sendlein,Arizona,C,Illegal Touch Pass,0
M.Birk,Baltimore,C,Lowering the Head to Initiate Contact,0
M.Birk,Baltimore,C,Illegal Procedure,0
M.Birk,Baltimore,C,Taunting,0
M.Unger,Seattle,C,Illegally Kicking Ball,0
M.Unger,Seattle,C,Illegal Double-Team Block,0
M.Unger,Seattle,C,Ineligible Downfield Kick,10
M.Unger,Seattle,C,Face Mask,0
M.Unger,Seattle,C,Defensive Too Many Men on Field,0
N.Mangold,N.Y. Jets,C,Illegal Wedge,0
N.Mangold,N.Y. Jets,C,Roughing the Passer,109
O.Kreutz,Chicago,C,Illegal Blindside Block,10
O.Kreutz,Chicago,C,Defensive Offside,20
O.Kreutz,Chicago,C,Illegal Substitution,0
O.Kreutz,Chicago,C,Illegal Double-Team Block,0
O.Kreutz,Chicago,C,Low Block,0
O.Kreutz,Chicago,C,Illegal Forward Pass,0
O.Kreutz,Chicago,C,Illegal Contact,10
R.Cook,Minnesota,C,Face Mask (5 Yards),0
R.Cook,Minnesota,C,Delay of Game,35
R.Garza,Chicago,C,Illegal Onside Kick,5
R.Garza,Chicago,C,Lowering the Head to Initiate Contact,0
R.Garza,Chicago,C,Intentional Grounding,23
R.Garza,Chicago,C,Delay of Kickoff,0
R.Garza,Chicago,C,Offensive 12 On-field,0
R.Hochstein,Denver,C,Illegal Onside Kick,0
R.Hochstein,Denver,C,Invalid Fair Catch Signal,0
R.Incognito,Buffalo,C,Illegal Crackback,15
R.Incognito,Buffalo,C,Short Free Kick,0
R.Incognito,Miami,C,Defensive Offside,40
R.Incognito,St. Louis,C,Defensive 12 On-field,5
R.Incognito,St. Louis,C,Illegal Forward Pass,0
R.Incognito,St. Louis,C,Defensive Delay of Game,5
R.Incognito,St. Louis,C,Roughing the Passer,80
R.Kalil,Carolina,C,Illegal Bat,0
R.Kalil,Carolina,C,Player Out of Bounds on Punt,5
